Date,Close,High,Low,Open,Volume
2018-09-07,0.08,0.09,0.08,0.09,41868100
2018-09-08,0.08,0.09,0.08,0.08,35208700
2018-09-09,0.08,0.08,0.08,0.08,47870100
2018-09-10,0.07,0.08,0.07,0.08,44682000
2018-09-11,0.07,0.07,0.07,0.07,47614500
2018-09-12,0.07,0.07,0.06,0.07,91272400
2018-09-13,0.07,0.07,0.07,0.07,86011700
2018-09-14,0.07,0.07,0.07,0.07,62256800
2018-09-15,0.07,0.07,0.07,0.07,34842300
2018-09-16,0.07,0.07,0.07,0.07,32643600
2018-09-17,0.06,0.07,0.06,0.07,48609600
2018-09-18,0.07,0.07,0.06,0.06,67159000
2018-09-19,0.07,0.07,0.07,0.07,96071300
2018-09-20,0.08,0.08,0.07,0.07,103788000
2018-09-21,0.09,0.09,0.08,0.08,212274000
2018-09-22,0.08,0.09,0.08,0.09,82526800
2018-09-23,0.09,0.09,0.08,0.08,149996000
2018-09-24,0.08,0.09,0.08,0.09,89522100
2018-09-25,0.08,0.08,0.08,0.08,87535200
2018-09-26,0.08,0.08,0.08,0.08,64321400
2018-09-27,0.09,0.09,0.08,0.08,101911000
2018-09-28,0.08,0.09,0.08,0.09,89113600
2018-09-29,0.08,0.09,0.08,0.08,55854000
2018-09-30,0.09,0.09,0.08,0.08,49853100
2018-10-01,0.08,0.09,0.08,0.09,42076400
2018-10-02,0.08,0.08,0.08,0.08,34775200
2018-10-03,0.08,0.08,0.08,0.08,38063700
2018-10-04,0.08,0.08,0.08,0.08,31665100
2018-10-05,0.08,0.08,0.08,0.08,31160900
2018-10-06,0.08,0.08,0.08,0.08,26277600
2018-10-07,0.08,0.09,0.08,0.08,34848400
2018-10-08,0.09,0.09,0.08,0.08,62079800
2018-10-09,0.09,0.09,0.08,0.09,38710200
2018-10-10,0.08,0.09,0.08,0.09,35888200
2018-10-11,0.07,0.08,0.07,0.08,72659700
2018-10-12,0.07,0.08,0.07,0.07,40979000
2018-10-13,0.07,0.07,0.07,0.07,23571900
2018-10-14,0.07,0.07,0.07,0.07,26250600
2018-10-15,0.07,0.08,0.07,0.07,71953000
2018-10-16,0.08,0.08,0.07,0.07,26555800
2018-10-17,0.08,0.08,0.08,0.08,36907800
2018-10-18,0.08,0.08,0.07,0.08,28634400
2018-10-19,0.08,0.08,0.07,0.08,18153800
2018-10-20,0.08,0.08,0.08,0.08,20363900
2018-10-21,0.08,0.08,0.08,0.08,17620200
2018-10-22,0.08,0.08,0.08,0.08,16871700
2018-10-23,0.07,0.08,0.07,0.08,20710600
2018-10-24,0.07,0.08,0.07,0.07,14151400
2018-10-25,0.07,0.07,0.07,0.07,12567300
2018-10-26,0.07,0.07,0.07,0.07,13464800
2018-10-27,0.07,0.07,0.07,0.07,10316000
2018-10-28,0.07,0.07,0.07,0.07,11226100
2018-10-29,0.07,0.07,0.07,0.07,21315700
2018-10-30,0.07,0.07,0.07,0.07,11418800
2018-10-31,0.07,0.07,0.07,0.07,16366000
2018-11-01,0.07,0.07,0.07,0.07,11256600
2018-11-02,0.07,0.07,0.07,0.07,18823400
2018-11-03,0.07,0.07,0.07,0.07,14948900
2018-11-04,0.08,0.08,0.07,0.07,52924200
2018-11-05,0.08,0.08,0.07,0.08,34358100
2018-11-06,0.08,0.08,0.08,0.08,49473200
2018-11-07,0.08,0.08,0.08,0.08,36852900
2018-11-08,0.08,0.08,0.08,0.08,32149600
2018-11-09,0.07,0.08,0.07,0.08,23756800
2018-11-10,0.08,0.08,0.07,0.07,15012100
2018-11-11,0.08,0.08,0.07,0.08,23663500
2018-11-12,0.08,0.08,0.07,0.08,20975100
2018-11-13,0.07,0.08,0.07,0.08,20329300
2018-11-14,0.06,0.07,0.06,0.07,54964400
2018-11-15,0.06,0.07,0.06,0.06,60267800
2018-11-16,0.06,0.06,0.06,0.06,27544700
2018-11-17,0.06,0.06,0.06,0.06,17926300
2018-11-18,0.06,0.06,0.06,0.06,16669400
2018-11-19,0.05,0.06,0.05,0.06,53737000
2018-11-20,0.04,0.05,0.04,0.05,65556800
2018-11-21,0.05,0.05,0.04,0.05,33938000
2018-11-22,0.04,0.05,0.04,0.05,18689900
2018-11-23,0.04,0.04,0.04,0.04,24258500
